time,target,attack_type,risk_before,risk_after,compromised,detected
0,Device44,Random,0.9,1.0,True,False
1,Device35,Burst,0.35,0.57,False,False
1,Device50,Burst,0.88,1.0,True,False
1,Device18,Burst,0.4,0.69,False,False
1,Device42,Burst,0.57,0.96,True,False
1,Device22,Burst,0.28,0.66,False,False
2,Device49,Targeted,0.9,1.0,True,False
3,Device33,Random,0.77,1.0,True,False
4,Device20,Burst,0.79,1.0,True,False
4,Device43,Burst,0.42,0.77,False,False
4,Device34,Burst,0.28,0.5900000000000001,False,False
4,Device40,Burst,0.31,0.6699999999999999,False,False
4,Device13,Burst,0.87,1.0,True,False
5,Device43,Random,0.77,1.0,True,False
6,Device8,Random,0.62,1.0,True,True
7,Device31,Targeted,0.89,1.0,True,False
8,Device45,Random,0.17,0.56,False,False
9,Device37,Random,0.8,1.0,True,False
10,Device10,Burst,0.75,1.0,True,False
10,Device36,Burst,0.27,0.5900000000000001,False,False
10,Device45,Burst,0.56,0.9500000000000001,True,False
10,Device12,Burst,0.37,0.76,False,False
10,Device19,Burst,0.76,1.0,True,False
11,Device16,Burst,0.75,1.0,True,False
11,Device25,Burst,0.61,0.8999999999999999,True,False
11,Device32,Burst,0.55,0.8,False,False
11,Device29,Burst,0.24,0.44999999999999996,False,False
11,Device36,Burst,0.5900000000000001,0.79,False,False
12,Device21,Burst,0.66,1.0,True,False
12,Device1,Burst,0.61,0.82,False,True
12,Device5,Burst,0.44,0.69,False,True
12,Device4,Burst,0.81,1.0,True,False
12,Device3,Burst,0.69,0.9299999999999999,True,False
13,Device36,Random,0.79,1.0,True,False
14,Device29,Burst,0.44999999999999996,0.69,False,False
14,Device26,Burst,0.4,0.62,False,False
14,Device12,Burst,0.76,1.0,True,False
14,Device40,Burst,0.6699999999999999,0.95,True,False
14,Device23,Burst,0.16,0.44999999999999996,False,False
15,Device2,Burst,0.32,0.6699999999999999,False,False
15,Device35,Burst,0.57,0.9299999999999999,True,False
15,Device34,Burst,0.5900000000000001,0.81,False,False
15,Device6,Burst,0.27,0.51,False,True
15,Device23,Burst,0.44999999999999996,0.76,False,False
16,Device24,Random,0.18,0.42,False,False
17,Device39,Targeted,0.83,1.0,True,False
18,Device26,Random,0.62,0.98,True,False
19,Device6,Burst,0.36,0.75,False,True
19,Device2,Burst,0.6699999999999999,1.0,True,False
19,Device38,Burst,0.62,0.99,True,False
19,Device30,Burst,0.23,0.46,False,False
19,Device1,Burst,0.6699999999999999,0.97,True,True
20,Device27,Random,0.31,0.69,False,False
21,Device27,Random,0.69,0.8899999999999999,True,False
22,Device34,Targeted,0.81,1.0,True,False
23,Device32,Targeted,0.8,1.0,True,False
24,Device47,Burst,0.73,0.97,True,False
24,Device41,Burst,0.55,0.76,False,False
24,Device11,Burst,0.74,1.0,True,False
24,Device15,Burst,0.78,0.99,True,False
24,Device46,Burst,0.19,0.45,False,False
25,Device48,Random,0.15,0.44999999999999996,False,False
26,Device17,Burst,0.53,0.74,False,False
26,Device5,Burst,0.5399999999999999,0.7499999999999999,False,True
26,Device23,Burst,0.76,1.0,True,False
26,Device6,Burst,0.6,0.88,True,True
26,Device7,Burst,0.12,0.51,False,True
27,Device14,Burst,0.17,0.39,False,False
27,Device29,Burst,0.69,1.0,True,False
27,Device46,Burst,0.45,0.76,False,False
27,Device5,Burst,0.5999999999999999,0.8599999999999999,True,True
27,Device41,Burst,0.76,1.0,True,False
28,Device22,Burst,0.66,0.99,True,False
28,Device17,Burst,0.74,1.0,True,False
28,Device18,Burst,0.69,0.95,True,False
28,Device24,Burst,0.42,0.77,False,False
28,Device9,Burst,0.28,0.49,False,False
29,Device24,Targeted,0.77,1.0,True,False
30,Device7,Burst,0.36,0.61,False,True
30,Device48,Burst,0.44999999999999996,0.84,False,False
30,Device30,Burst,0.46,0.8400000000000001,False,False
30,Device9,Burst,0.49,0.87,True,False
30,Device14,Burst,0.39,0.66,False,False
31,Device30,Random,0.8400000000000001,1.0,True,False
32,Device28,Burst,0.62,1.0,True,False
32,Device7,Burst,0.45999999999999996,0.69,False,True
32,Device48,Burst,0.84,1.0,True,False
32,Device14,Burst,0.66,0.88,True,False
32,Device46,Burst,0.76,1.0,True,False
33,Device7,Targeted,0.5399999999999999,0.7999999999999999,False,True
34,Device7,Random,0.6499999999999999,0.8899999999999999,True,True
